id,tenantDivisionId,roleId,email,firstName,lastName,password,phone,address,gender,birthday,profileImageUrl,refreshToken,permissions,userRole,createdAt,updatedAt
11,26,2,tadmin9@tenant.com,Salem,Al-Mansouri,$2b$10$tadmin9hashedpassword,"+971502020202","Al Qasba, Sharjah","Male","1981-08-25","https://example.com/avatars/tadmin9.jpg","tadmin_refresh_009","[""tenant:manage""]","tadmin","2025-01-13T18:00:00Z","2025-11-11T13:37:00Z"
12,28,2,tadmin10@tenant.com,Noura,Al-Mansoori,$2b$10$tadmin10hashedpassword,"+971503030303","Al Nahda, Sharjah","Female","1986-10-12","https://example.com/avatars/tadmin10.jpg","tadmin_refresh_010","[""tenant:manage""]","tadmin","2025-01-14T19:00:00Z","2025-11-11T13:37:00Z"
13,1,3,dadmin1@div.com,Yousef,Al-Blooshi,$2b$10$dadmin1hashedpassword,"+971504040404","Al Nud, Sharjah","Male","1983-01-30","https://example.com/avatars/dadmin1.jpg","dadmin_refresh_001","[""division:manage""]","dadmin","2025-01-15T08:00:00Z","2025-11-11T13:37:00Z"
14,4,3,dadmin2@div.com,Amal,Al-Hammadi,$2b$10$dadmin2hashedpassword,"+971505050505","Al Shahba, Sharjah","Female","1987-03-17","https://example.com/avatars/dadmin2.jpg","dadmin_refresh_002","[""division:manage""]","dadmin","2025-01-16T09:00:00Z","2025-11-11T13:37:00Z"
15,6,3,dadmin3@div.com,Hassan,Al-Mutawa,$2b$10$dadmin3hashedpassword,"+971506060606","Al Rifa'a, Sharjah","Male","1980-06-04","https://example.com/avatars/dadmin3.jpg","dadmin_refresh_003","[""division:manage""]","dadmin","2025-01-17T10:00:00Z","2025-11-11T13:37:00Z"
16,8,3,dadmin4@div.com,Rashida,Al-Kaabi,$2b$10$dadmin4hashedpassword,"+971507070707","Al Jazzat, Sharjah","Female","1988-09-21","https://example.com/avatars/dadmin4.jpg","dadmin_refresh_004","[""division:manage""]","dadmin","2025-01-18T11:00:00Z","2025-11-11T13:37:00Z"
17,10,3,dadmin5@div.com,Ali,Al-Mehairi,$2b$10$dadmin5hashedpassword,"+971508080808","Al Layyah, Sharjah","Male","1982-12-08","https://example.com/avatars/dadmin5.jpg","dadmin_refresh_005","[""division:manage""]","dadmin","2025-01-19T12:00:00Z","2025-11-11T13:37:00Z"
18,12,3,dadmin6@div.com,Shamsa,Al-Qubaisi,$2b$10$dadmin6hashedpassword,"+971509090909","Al Majaz Waterfront","Female","1989-02-25","https://example.com/avatars/dadmin6.jpg","dadmin_refresh_006","[""division:manage""]","dadmin","2025-01-20T13:00:00Z","2025-11-11T13:37:00Z"
19,15,3,dadmin7@div.com,Nasser,Al-Ali,$2b$10$dadmin7hashedpassword,"+971501010110","Al Gharb, Sharjah","Male","1981-05-12","https://example.com/avatars/dadmin7.jpg","dadmin_refresh_007","[""division:manage""]","dadmin","2025-01-21T14:00:00Z","2025-11-11T13:37:00Z"
20,17,3,dadmin8@div.com,Maitha,Al-Mansoori,$2b$10$dadmin8hashedpassword,"+971502020211","Al Azra, Sharjah","Female","1990-07-29","https://example.com/avatars/dadmin8.jpg","dadmin_refresh_008","[""division:manage""]","dadmin","2025-01-22T15:00:00Z","2025-11-11T13:37:00Z"
21,19,3,dadmin9@div.com,Tariq,Al-Hosani,$2b$10$dadmin9hashedpassword,"+971503030312","Al Sabkha, Sharjah","Male","1984-10-16","https://example.com/avatars/dadmin9.jpg","dadmin_refresh_009","[""division:manage""]","dadmin","2025-01-23T16:00:00Z","2025-11-11T13:37:00Z"
22,21,3,dadmin10@div.com,Asma,Al-Mansoori,$2b$10$dadmin10hashedpassword,"+971504040413","Al Ramla, Sharjah","Female","1991-01-03","https://example.com/avatars/dadmin10.jpg","dadmin_refresh_010","[""division:manage""]","dadmin","2025-01-24T17:00:00Z","2025-11-11T13:37:00Z"
23,23,3,dadmin11@div.com,Faris,Al-Mansoori,$2b$10$dadmin11hashedpassword,"+971505050514","Al Heerah, Sharjah","Male","1983-04-20","https://example.com/avatars/dadmin11.jpg","dadmin_refresh_011","[""division:manage""]","dadmin","2025-01-25T18:00:00Z","2025-11-11T13:37:00Z"
24,25,3,dadmin12@div.com,Huda,Al-Mansoori,$2b$10$dadmin12hashedpassword,"+971506060615","Al Sharq, Sharjah","Female","1992-06-07","https://example.com/avatars/dadmin12.jpg","dadmin_refresh_012","[""division:manage""]","dadmin","2025-01-26T19:00:00Z","2025-11-11T13:37:00Z"
25,27,3,dadmin13@div.com,Malik,Al-Mansoori,$2b$10$dadmin13hashedpassword,"+971507070716","Al Dhaid Road, Sharjah","Male","1985-08-24","https://example.com/avatars/dadmin13.jpg","dadmin_refresh_013","[""division:manage""]","dadmin","2025-01-27T20:00:00Z","2025-11-11T13:37:00Z"
26,28,3,dadmin14@div.com,Rawan,Al-Mansoori,$2b$10$dadmin14hashedpassword,"+971508080817","Bu Danig, Sharjah","Female","1993-11-11","https://example.com/avatars/dadmin14.jpg","dadmin_refresh_014","[""division:manage""]","dadmin","2025-01-28T21:00:00Z","2025-11-11T13:37:00Z"
27,3,4,instructor1@course.com,Sara,Al-Nuaimi,$2b$10$inst1hashedpassword,"+971509090918","Al Khan, Sharjah","Female","1991-06-12","https://example.com/avatars/inst1.jpg","inst_refresh_001","[""read:users"",""write:courses""]","instructor","2025-02-01T08:00:00Z","2025-11-11T13:37:00Z"
28,5,4,instructor2@course.com,Ibrahim,Al-Salem,$2b$10$inst2hashedpassword,"+971501010119","Maysaloon, Sharjah","Male","1987-01-27","https://example.com/avatars/inst2.jpg","inst_refresh_002","[""read:users"",""write:courses""]","instructor","2025-02-02T09:00:00Z","2025-11-11T13:37:00Z"
29,7,4,instructor3@course.com,Nadia,Al-Rahim,$2b$10$inst3hashedpassword,"+971502020220","Al Taawun, Sharjah","Female","1993-10-08","https://example.com/avatars/inst3.jpg","inst_refresh_003","[""read:users"",""write:courses""]","instructor","2025-02-03T10:00:00Z","2025-11-11T13:37:00Z"
30,11,4,instructor4@course.com,Ali,Al-Mansour,$2b$10$inst4hashedpassword,"+971503030321","Al Qasba, Sharjah","Male","1989-12-19","https://example.com/avatars/inst4.jpg","inst_refresh_004","[""read:users"",""write:courses""]","instructor","2025-02-04T11:00:00Z","2025-11-11T13:37:00Z"
31,15,4,instructor5@course.com,Layla,Al-Omar,$2b$10$inst5hashedpassword,"+971504040422","Al Nahda, Sharjah","Female","1994-02-14","https://example.com/avatars/inst5.jpg","inst_refresh_005","[""read:users"",""write:courses""]","instructor","2025-02-05T12:00:00Z","2025-11-11T13:37:00Z"
32,19,4,instructor6@course.com,Hassan,Al-Ahmed,$2b$10$inst6hashedpassword,"+971505050523","Al Yarmook, Sharjah","Male","1986-08-03","https://example.com/avatars/inst6.jpg","inst_refresh_006","[""read:users"",""write:courses""]","instructor","2025-02-06T13:00:00Z","2025-11-11T13:37:00Z"
33,22,4,instructor7@course.com,Amina,Al-Khalifa,$2b$10$inst7hashedpassword,"+971506060624","Al Majaz Waterfront","Female","1990-05-21","https://example.com/avatars/inst7.jpg","inst_refresh_007","[""read:users"",""write:courses""]","instructor","2025-02-07T14:00:00Z","2025-11-11T13:37:00Z"
34,26,4,instructor8@course.com,Yousef,Al-Nasser,$2b$10$inst8hashedpassword,"+971507070725","University City, Sharjah","Male","1992-03-09","https://example.com/avatars/inst8.jpg","inst_refresh_008","[""read:users"",""write:courses""]","instructor","2025-02-08T15:00:00Z","2025-11-11T13:37:00Z"
35,1,4,instructor9@course.com,Rashid,Al-Blooshi,$2b$10$inst9hashedpassword,"+971508080826","Al Jazzat, Sharjah","Male","1988-11-17","https://example.com/avatars/inst9.jpg","inst_refresh_009","[""read:users"",""write:courses""]","instructor","2025-02-09T16:00:00Z","2025-11-11T13:37:00Z"
36,4,4,instructor10@course.com,Mona,Al-Saeed,$2b$10$inst10hashedpassword,"+971509090927","Al Shahba, Sharjah","Female","1995-07-30","https://example.com/avatars/inst10.jpg","inst_refresh_010","[""read:users"",""write:courses""]","instructor","2025-02-10T17:00:00Z","2025-11-11T13:37:00Z"
37,2,5,student1@edu.com,Reem,Al-Mansoori,$2b$10$stud1hashedpassword,"+971501010128","Al Nud, Sharjah","Female","2002-01-10",,"stud_refresh_001","[""read:courses""]","student","2025-03-01T08:00:00Z","2025-11-11T13:37:00Z"
38,3,5,student2@edu.com,Abdulla,Al-Hashimi,$2b$10$stud2hashedpassword,"+971502020229","Al Taawun, Sharjah","Male","2003-02-15",,"stud_refresh_002","[""read:courses""]","student","2025-03-02T09:00:00Z","2025-11-11T13:37:00Z"
39,5,5,student3@edu.com,Hamda,Al-Qasimi,$2b$10$stud3hashedpassword,"+971503030330","University City, Sharjah","Female","2001-03-20",,"stud_refresh_003","[""read:courses""]","student","2025-03-03T10:00:00Z","2025-11-11T13:37:00Z"
40,7,5,student4@edu.com,Sultan,Al-Nuaimi,$2b$10$stud4hashedpassword,"+971504040431","Al Khan, Sharjah","Male","2004-04-25",,"stud_refresh_004","[""read:courses""]","student","2025-03-04T11:00:00Z","2025-11-11T13:37:00Z"
41,11,5,student5@edu.com,Asma,Al-Falasi,$2b$10$stud5hashedpassword,"+971505050532","Al Qasimia, Sharjah","Female","2000-05-30",,"stud_refresh_005","[""read:courses""]","student","2025-03-05T12:00:00Z","2025-11-11T13:37:00Z"
42,14,5,student6@edu.com,Khalifa,Al-Ghafli,$2b$10$stud6hashedpassword,"+971506060633","Al Mujaz, Sharjah","Male","2002-06-05",,"stud_refresh_006","[""read:courses""]","student","2025-03-06T13:00:00Z","2025-11-11T13:37:00Z"
43,18,5,student7@edu.com,Shaikha,Al-Mazrouei,$2b$10$stud7hashedpassword,"+971507070734","Al Yarmook, Sharjah","Female","2003-07-10",,"stud_refresh_007","[""read:courses""]","student","2025-03-07T14:00:00Z","2025-11-11T13:37:00Z"
44,22,5,student8@edu.com,Ahmed,Al-Raisi,$2b$10$stud8hashedpassword,"+971508080835","Al Fisht, Sharjah","Male","2001-08-15",,"stud_refresh_008","[""read:courses""]","student","2025-03-08T15:00:00Z","2025-11-11T13:37:00Z"
45,26,5,student9@edu.com,Moza,Al-Dhaheri,$2b$10$stud9hashedpassword,"+971509090936","Al Qasba, Sharjah","Female","2004-09-20",,"stud_refresh_009","[""read:courses""]","student","2025-03-09T16:00:00Z","2025-11-11T13:37:00Z"
46,28,5,student10@edu.com,Saif,Al-Mansouri,$2b$10$stud10hashedpassword,"+971501010137","Al Nahda, Sharjah","Male","2000-10-25",,"stud_refresh_010","[""read:courses""]","student","2025-03-10T17:00:00Z","2025-11-11T13:37:00Z"
47,1,5,student11@edu.com,Laila,Al-Mansoori,$2b$10$stud11hashedpassword,"+971502020238","Al Nud, Sharjah","Female","2002-11-30",,"stud_refresh_011","[""read:courses""]","student","2025-03-11T18:00:00Z","2025-11-11T13:37:00Z"
48,4,5,student12@edu.com,Mansoor,Al-Hammadi,$2b$10$stud12hashedpassword,"+971503030339","Al Shahba, Sharjah","Male","2003-12-05",,"stud_refresh_012","[""read:courses""]","student","2025-03-12T19:00:00Z","2025-11-11T13:37:00Z"
49,6,5,student13@edu.com,Salama,Al-Mutawa,$2b$10$stud13hashedpassword,"+971504040440","Al Rifa'a, Sharjah","Female","2001-01-10",,"stud_refresh_013","[""read:courses""]","student","2025-03-13T20:00:00Z","2025-11-11T13:37:00Z"
50,8,5,student14@edu.com,Butti,Al-Kaabi,$2b$10$stud14hashedpassword,"+971505050541","Al Jazzat, Sharjah","Male","2004-02-15",,"stud_refresh_014","[""read:courses""]","student","2025-03-14T21:00:00Z","2025-11-11T13:37:00Z"
51,10,5,student15@edu.com,Mouza,Al-Mehairi,$2b$10$stud15hashedpassword,"+971506060642","Al Layyah, Sharjah","Female","2000-03-20",,"stud_refresh_015","[""read:courses""]","student","2025-03-15T22:00:00Z","2025-11-11T13:37:00Z"
